FID,OBJECTID_1,OBJECTID,X_Point,Y_Point,X_Anchor,Y_Anchor,X"_Anchor,Y"_Anchor,X_XAnchor,Y_YAnchor,X_X"Anchor,Y_Y"Anchor
34,35,4675,723586.813399999980000,9298482.140699999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,29.758900000000001,-698.050100001000030,-482.146426000000020,32.738709999199997
35,36,4676,723586.813399999980000,9298482.140699999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,29.758900000000001,-698.050100001000030,-482.146426000000020,32.738709999199997
36,37,4683,724021.703499999950000,9298480.878100000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,464.649000000000000,-699.312699999999950,-47.256326000100003,31.476110000199998
37,38,4684,724021.703499999950000,9298480.878100000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,464.649000000000000,-699.312699999999950,-47.256326000100003,31.476110000199998
38,39,4693,724012.359500000020000,9298482.221699999600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,455.305000000000010,-697.969100000000030,-56.600326000000003,32.819709999499999
39,40,4694,724012.359500000020000,9298482.221699999600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,455.305000000000010,-697.969100000000030,-56.600326000000003,32.819709999499999
40,41,4703,724003.810599999970000,9298483.360700000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,446.756100000000000,-696.830100000000020,-65.149226000100001,33.958709999900002
41,42,4704,724003.810599999970000,9298483.360700000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,446.756100000000000,-696.830100000000020,-65.149226000100001,33.958709999900002
42,43,4723,723995.981999999960000,9298484.355699999300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,438.927500000000010,-695.835100001000000,-72.977826000099995,34.953709999099999
43,44,4724,723995.981999999960000,9298484.355699999300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,438.927500000000010,-695.835100001000000,-72.977826000099995,34.953709999099999
44,45,4741,723648.554499999970000,9298487.699599999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,91.500000000000000,-692.491200000000050,-420.405326000000000,38.297609999800002
45,46,4742,723648.554499999970000,9298487.699599999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,91.500000000000000,-692.491200000000050,-420.405326000000000,38.297609999800002
46,47,4743,723985.146300000020000,9298486.436000000700000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,428.091799999999980,-693.754799999000060,-83.813525999999996,37.034010000499997
47,48,4744,723985.146300000020000,9298486.436000000700000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,428.091799999999980,-693.754799999000060,-83.813525999999996,37.034010000499997
48,49,4755,723978.138099999980000,9298487.233400000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,421.083599999999990,-692.957400000000010,-90.821726000100000,37.831410000100000
49,50,4756,723978.138099999980000,9298487.233400000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,421.083599999999990,-692.957400000000010,-90.821726000100000,37.831410000100000
50,51,4771,724068.735800000020000,9298487.934499999500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,511.681300000000020,-692.256300000000010,-0.224026000011000,38.532509999299997
51,52,4772,724068.735800000020000,9298487.934499999500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,511.681300000000020,-692.256300000000010,-0.224026000011000,38.532509999299997
52,53,4775,723969.260299999970000,9298488.485799999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,412.205800000000010,-691.705000000000040,-99.699526000099993,39.083809999700001
53,54,4776,723969.260299999970000,9298488.485799999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,412.205800000000010,-691.705000000000040,-99.699526000099993,39.083809999700001
54,55,4777,723590.277099999950000,9298490.388100000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,33.222600000000000,-689.802699999999960,-478.682726000000000,40.986109999900002
55,56,4778,723590.277099999950000,9298490.388100000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,33.222600000000000,-689.802699999999960,-478.682726000000000,40.986109999900002
56,57,4795,724059.981999999960000,9298489.224700000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,502.927500000000010,-690.966099999999980,-8.977826000069999,39.822710000000001
57,58,4796,724059.981999999960000,9298489.224700000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,502.927500000000010,-690.966099999999980,-8.977826000069999,39.822710000000001
58,59,4799,723959.600899999960000,9298489.883199999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,402.546400000000010,-690.307600000999970,-109.358926000000000,40.481209999000001
59,60,4800,723959.600899999960000,9298489.883199999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,402.546400000000010,-690.307600000999970,-109.358926000000000,40.481209999000001
60,61,4817,724051.325700000040000,9298490.423200000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,494.271200000000020,-689.767600000000020,-17.634125999999998,41.021209999900002
61,62,4818,724051.325700000040000,9298490.423200000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,494.271200000000020,-689.767600000000020,-17.634125999999998,41.021209999900002
62,63,4821,723950.015600000040000,9298491.154200000700000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,392.961099999999990,-689.036599999000030,-118.944226000000000,41.752210000500000
63,64,4822,723950.015600000040000,9298491.154200000700000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,392.961099999999990,-689.036599999000030,-118.944226000000000,41.752210000500000
64,65,4837,724041.569499999980000,9298491.776399999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,484.514999999999990,-688.414400000000000,-27.390326000100000,42.374409999699999
65,66,4838,724041.569499999980000,9298491.776399999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,484.514999999999990,-688.414400000000000,-27.390326000100000,42.374409999699999
66,67,4841,723940.196000000000000,9298492.546000000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,383.141500000000010,-687.644800000000030,-128.763825999999990,43.144009999900000
67,68,4842,723940.196000000000000,9298492.546000000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,383.141500000000010,-687.644800000000030,-128.763825999999990,43.144009999900000
68,69,4853,724032.078499999950000,9298493.257600000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,475.024000000000000,-686.933200000000060,-36.881326000100003,43.855609999999999
69,70,4854,724032.078499999950000,9298493.257600000100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,475.024000000000000,-686.933200000000060,-36.881326000100003,43.855609999999999
70,71,4861,723930.429200000010000,9298493.910800000700000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,373.374700000000020,-686.279999998999980,-138.530626000000010,44.508810000499999
71,72,4862,723930.429200000010000,9298493.910800000700000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,373.374700000000020,-686.279999998999980,-138.530626000000010,44.508810000499999
72,73,4871,724023.007699999960000,9298494.468100000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,465.953199999999980,-685.722700000000030,-45.952126000100002,45.066110000000002
73,74,4872,724023.007699999960000,9298494.468100000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,465.953199999999980,-685.722700000000030,-45.952126000100002,45.066110000000002
74,75,4885,723919.914200000000000,9298495.665200000600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,362.859699999999980,-684.525599998999950,-149.045626000000000,46.263210000500003
75,76,4886,723919.914200000000000,9298495.665200000600000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,362.859699999999980,-684.525599998999950,-149.045626000000000,46.263210000500003
76,77,4889,724014.005800000040000,9298495.827700000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,456.951300000000000,-684.363100000000030,-54.954025999999999,46.425710000099997
77,78,4890,724014.005800000040000,9298495.827700000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,456.951300000000000,-684.363100000000030,-54.954025999999999,46.425710000099997
78,79,4899,724005.433500000040000,9298497.070200000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,448.379000000000020,-683.120599999999970,-63.526325999999997,47.668209999799998
79,80,4900,724005.433500000040000,9298497.070200000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,448.379000000000020,-683.120599999999970,-63.526325999999997,47.668209999799998
80,81,4905,723592.929899999990000,9298498.800000000700000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,35.875399999999999,-681.390799999000020,-476.029925999999990,49.398010000600003
81,82,4906,723592.929899999990000,9298498.800000000700000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,35.875399999999999,-681.390799999000020,-476.029925999999990,49.398010000600003
82,83,4915,723997.638500000000000,9298498.180800000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,440.584000000000000,-682.009999999999990,-71.321325999999999,48.778810000000000
83,84,4916,723997.638500000000000,9298498.180800000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,440.584000000000000,-682.009999999999990,-71.321325999999999,48.778810000000000
84,85,4933,723986.386199999950000,9298500.031700000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,429.331700000000010,-680.159099999999970,-82.573626000100006,50.629710000000003
85,86,4934,723986.386199999950000,9298500.031700000200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,429.331700000000010,-680.159099999999970,-82.573626000100006,50.629710000000003
86,87,4947,723979.202399999950000,9298500.988500000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,422.147899999999990,-679.202299999000050,-89.757426000099997,51.586510000799997
87,88,4948,723979.202399999950000,9298500.988500000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,422.147899999999990,-679.202299999000050,-89.757426000099997,51.586510000799997
88,89,4955,723912.122899999960000,9298501.509999999800000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,355.068400000000000,-678.680799999999980,-156.836926000000010,52.108009999600000
89,90,4956,723912.122899999960000,9298501.509999999800000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,355.068400000000000,-678.680799999999980,-156.836926000000010,52.108009999600000
90,91,4965,723970.473400000020000,9298502.247600000400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,413.418900000000010,-677.943200000000050,-98.486425999999994,52.845610000199997
91,92,4966,723970.473400000020000,9298502.247600000400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,413.418900000000010,-677.943200000000050,-98.486425999999994,52.845610000199997
92,93,4977,723581.862599999990000,9298504.740499999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,24.808100000000000,-675.450300000999960,-487.097225999999980,55.338509999199999
93,94,4978,723581.862599999990000,9298504.740499999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,24.808100000000000,-675.450300000999960,-487.097225999999980,55.338509999199999
94,95,4991,723960.817099999990000,9298503.652100000500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,403.762600000000020,-676.538699998999960,-108.142726000000000,54.250110000399999
95,96,4992,723960.817099999990000,9298503.652100000500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,403.762600000000020,-676.538699998999960,-108.142726000000000,54.250110000399999
96,97,5007,724070.033100000000000,9298504.193900000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,512.978600000000030,-675.996899999999980,1.073273999970000,54.791910000100003
97,98,5008,724070.033100000000000,9298504.193900000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,512.978600000000030,-675.996899999999980,1.073273999970000,54.791910000100003
98,99,5011,723689.273999999980000,9298505.787300000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,132.219500000000010,-674.403500000000010,-379.685826000000020,56.385309999800000
99,100,5012,723689.273999999980000,9298505.787300000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,132.219500000000010,-674.403500000000010,-379.685826000000020,56.385309999800000
100,101,5015,723951.303599999980000,9298504.992900000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,394.249100000000000,-675.197899999000010,-117.656226000000000,55.590910000699999
101,102,5016,723951.303599999980000,9298504.992900000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,394.249100000000000,-675.197899999000010,-117.656226000000000,55.590910000699999
102,103,5023,724060.868999999950000,9298505.541999999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,503.814500000000010,-674.648800001000040,-8.090826000090001,56.140009999299998
103,104,5024,724060.868999999950000,9298505.541999999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,503.814500000000010,-674.648800001000040,-8.090826000090001,56.140009999299998
104,105,5027,723941.696000000000000,9298506.380999999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,384.641500000000010,-673.809800000999990,-127.263825999999990,56.979009998999999
105,106,5028,723941.696000000000000,9298506.380999999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,384.641500000000010,-673.809800000999990,-127.263825999999990,56.979009998999999
106,107,5043,724051.972100000010000,9298506.735200000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,494.917599999999990,-673.455599999000010,-16.987725999999999,57.333210000800001
107,108,5044,724051.972100000010000,9298506.735200000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,494.917599999999990,-673.455599999000010,-16.987725999999999,57.333210000800001
108,109,5053,723932.089000000040000,9298507.761499999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,375.034499999999980,-672.429300001000000,-136.870825999999990,58.359509998900002
109,110,5054,723932.089000000040000,9298507.761499999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,375.034499999999980,-672.429300001000000,-136.870825999999990,58.359509998900002
110,111,5067,724042.746200000050000,9298507.954399999200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,485.691700000000030,-672.236400000999990,-26.213626000000001,58.552409999100000
111,112,5068,724042.746200000050000,9298507.954399999200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,485.691700000000030,-672.236400000999990,-26.213626000000001,58.552409999100000
112,113,5071,723921.564099999960000,9298509.269799999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,364.509599999999980,-670.921000000000050,-147.395726000000000,59.867809999700000
113,114,5072,723921.564099999960000,9298509.269799999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,364.509599999999980,-670.921000000000050,-147.395726000000000,59.867809999700000
114,115,5079,724033.469000000040000,9298509.464299999200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,476.414499999999980,-670.726500000999980,-35.490825999999998,60.062309999000000
115,116,5080,724033.469000000040000,9298509.464299999200000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,476.414499999999980,-670.726500000999980,-35.490825999999998,60.062309999000000
116,117,5091,724024.515000000010000,9298510.582000000400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,467.460500000000020,-669.608799999999970,-44.444825999999999,61.180010000199999
117,118,5092,724024.515000000010000,9298510.582000000400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,467.460500000000020,-669.608799999999970,-44.444825999999999,61.180010000199999
118,119,5097,723910.960599999990000,9298511.255599999800000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,353.906099999999980,-668.935200000000010,-157.999225999999990,61.853609999600003
119,120,5098,723910.960599999990000,9298511.255599999800000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,353.906099999999980,-668.935200000000010,-157.999225999999990,61.853609999600003
120,121,5105,723661.417000000020000,9298513.279600000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,104.362500000000000,-666.911200000000010,-407.542825999999990,63.877609999900002
121,122,5106,723661.417000000020000,9298513.279600000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,104.362500000000000,-666.911200000000010,-407.542825999999990,63.877609999900002
122,123,5107,724015.927700000000000,9298511.913400000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,458.873200000000000,-668.277399999999940,-53.032125999999998,62.511409999800001
123,124,5108,724015.927700000000000,9298511.913400000000000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,458.873200000000000,-668.277399999999940,-53.032125999999998,62.511409999800001
124,125,5131,724007.312200000040000,9298513.152100000500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,450.257700000000000,-667.038699998999960,-61.647626000000002,63.750110000399999
125,126,5132,724007.312200000040000,9298513.152100000500000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,450.257700000000000,-667.038699998999960,-61.647626000000002,63.750110000399999
126,127,5147,723999.527600000030000,9298514.263699999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,442.473099999999990,-665.927100000999990,-69.432226000000000,64.861709998899997
127,128,5148,723999.527600000030000,9298514.263699999100000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,442.473099999999990,-665.927100000999990,-69.432226000000000,64.861709998899997
128,129,5151,723642.147099999940000,9298516.014299999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,85.092600000000004,-664.176500000000030,-426.812726000000000,66.612309999800004
129,130,5152,723642.147099999940000,9298516.014299999900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,85.092600000000004,-664.176500000000030,-426.812726000000000,66.612309999800004
130,131,5163,723987.596400000040000,9298515.858899999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,430.541900000000000,-664.331900001000010,-81.363426000000004,66.456909999299995
131,132,5164,723987.596400000040000,9298515.858899999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,430.541900000000000,-664.331900001000010,-81.363426000000004,66.456909999299995
132,133,5177,723980.387699999960000,9298516.597400000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,423.333199999999980,-663.593399999999970,-88.572126000099999,67.195410000199999
133,134,5178,723980.387699999960000,9298516.597400000300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,423.333199999999980,-663.593399999999970,-88.572126000099999,67.195410000199999
134,135,5193,723971.808899999950000,9298517.773600000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,414.754399999999980,-662.417199998999990,-97.150926000100000,68.371610000700002
135,136,5194,723971.808899999950000,9298517.773600000900000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,414.754399999999980,-662.417199998999990,-97.150926000100000,68.371610000700002
136,137,5197,724071.089599999950000,9298517.506999999300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,514.035100000000060,-662.683800001000010,2.129773999910000,68.105009999100005
137,138,5198,724071.089599999950000,9298517.506999999300000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,514.035100000000060,-662.683800001000010,2.129773999910000,68.105009999100005
138,139,5199,723633.858600000040000,9298519.355599999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,76.804100000099993,-660.835200000999980,-435.101226000000000,69.953609999299999
139,140,5200,723633.858600000040000,9298519.355599999400000,723557.054499999970000,9299180.190800000000000,724068.959826000030000,9298449.401990000200000,76.804100000099993,-660.835200000999980,-435.101226000000000,69.953609999299999
