FID,OBJECTID,X_Point,Y_Point,X_Anchor,Y_Anchor
53,4775,723969.2603,9298488.486,723557.0545,9299180.191
54,4776,723969.2603,9298488.486,723557.0545,9299180.191
55,4777,723590.2771,9298490.388,723557.0545,9299180.191
56,4778,723590.2771,9298490.388,723557.0545,9299180.191
57,4795,724059.982,9298489.225,723557.0545,9299180.191
58,4796,724059.982,9298489.225,723557.0545,9299180.191
59,4799,723959.6009,9298489.883,723557.0545,9299180.191
60,4800,723959.6009,9298489.883,723557.0545,9299180.191
61,4817,724051.3257,9298490.423,723557.0545,9299180.191
62,4818,724051.3257,9298490.423,723557.0545,9299180.191
63,4821,723950.0156,9298491.154,723557.0545,9299180.191
64,4822,723950.0156,9298491.154,723557.0545,9299180.191
65,4837,724041.5695,9298491.776,723557.0545,9299180.191
66,4838,724041.5695,9298491.776,723557.0545,9299180.191
67,4841,723940.196,9298492.546,723557.0545,9299180.191
68,4842,723940.196,9298492.546,723557.0545,9299180.191
69,4853,724032.0785,9298493.258,723557.0545,9299180.191
70,4854,724032.0785,9298493.258,723557.0545,9299180.191
71,4861,723930.4292,9298493.911,723557.0545,9299180.191
72,4862,723930.4292,9298493.911,723557.0545,9299180.191
73,4871,724023.0077,9298494.468,723557.0545,9299180.191
74,4872,724023.0077,9298494.468,723557.0545,9299180.191
75,4885,723919.9142,9298495.665,723557.0545,9299180.191
76,4886,723919.9142,9298495.665,723557.0545,9299180.191
77,4889,724014.0058,9298495.828,723557.0545,9299180.191
78,4890,724014.0058,9298495.828,723557.0545,9299180.191
79,4899,724005.4335,9298497.07,723557.0545,9299180.191
80,4900,724005.4335,9298497.07,723557.0545,9299180.191
81,4905,723592.9299,9298498.8,723557.0545,9299180.191
82,4906,723592.9299,9298498.8,723557.0545,9299180.191
83,4915,723997.6385,9298498.181,723557.0545,9299180.191
84,4916,723997.6385,9298498.181,723557.0545,9299180.191
85,4933,723986.3862,9298500.032,723557.0545,9299180.191
86,4934,723986.3862,9298500.032,723557.0545,9299180.191
87,4947,723979.2024,9298500.989,723557.0545,9299180.191
88,4948,723979.2024,9298500.989,723557.0545,9299180.191
89,4955,723912.1229,9298501.51,723557.0545,9299180.191
90,4956,723912.1229,9298501.51,723557.0545,9299180.191
91,4965,723970.4734,9298502.248,723557.0545,9299180.191
92,4966,723970.4734,9298502.248,723557.0545,9299180.191
93,4977,723581.8626,9298504.74,723557.0545,9299180.191
94,4978,723581.8626,9298504.74,723557.0545,9299180.191
95,4991,723960.8171,9298503.652,723557.0545,9299180.191
96,4992,723960.8171,9298503.652,723557.0545,9299180.191
97,5007,724070.0331,9298504.194,723557.0545,9299180.191
98,5008,724070.0331,9298504.194,723557.0545,9299180.191
99,5011,723689.274,9298505.787,723557.0545,9299180.191
100,5012,723689.274,9298505.787,723557.0545,9299180.191
101,5015,723951.3036,9298504.993,723557.0545,9299180.191
102,5016,723951.3036,9298504.993,723557.0545,9299180.191
103,5023,724060.869,9298505.542,723557.0545,9299180.191
104,5024,724060.869,9298505.542,723557.0545,9299180.191
105,5027,723941.696,9298506.381,723557.0545,9299180.191
106,5028,723941.696,9298506.381,723557.0545,9299180.191
107,5043,724051.9721,9298506.735,723557.0545,9299180.191
108,5044,724051.9721,9298506.735,723557.0545,9299180.191
109,5053,723932.089,9298507.761,723557.0545,9299180.191
110,5054,723932.089,9298507.761,723557.0545,9299180.191
111,5067,724042.7462,9298507.954,723557.0545,9299180.191
112,5068,724042.7462,9298507.954,723557.0545,9299180.191
113,5071,723921.5641,9298509.27,723557.0545,9299180.191
114,5072,723921.5641,9298509.27,723557.0545,9299180.191
115,5079,724033.469,9298509.464,723557.0545,9299180.191
116,5080,724033.469,9298509.464,723557.0545,9299180.191
117,5091,724024.515,9298510.582,723557.0545,9299180.191
118,5092,724024.515,9298510.582,723557.0545,9299180.191
119,5097,723910.9606,9298511.256,723557.0545,9299180.191
120,5098,723910.9606,9298511.256,723557.0545,9299180.191
121,5105,723661.417,9298513.28,723557.0545,9299180.191
122,5106,723661.417,9298513.28,723557.0545,9299180.191
123,5107,724015.9277,9298511.913,723557.0545,9299180.191
124,5108,724015.9277,9298511.913,723557.0545,9299180.191
125,5131,724007.3122,9298513.152,723557.0545,9299180.191
126,5132,724007.3122,9298513.152,723557.0545,9299180.191
127,5147,723999.5276,9298514.264,723557.0545,9299180.191
128,5148,723999.5276,9298514.264,723557.0545,9299180.191
129,5151,723642.1471,9298516.014,723557.0545,9299180.191
130,5152,723642.1471,9298516.014,723557.0545,9299180.191
131,5163,723987.5964,9298515.859,723557.0545,9299180.191
132,5164,723987.5964,9298515.859,723557.0545,9299180.191
133,5177,723980.3877,9298516.597,723557.0545,9299180.191
134,5178,723980.3877,9298516.597,723557.0545,9299180.191
135,5193,723971.8089,9298517.774,723557.0545,9299180.191
136,5194,723971.8089,9298517.774,723557.0545,9299180.191
137,5197,724071.0896,9298517.507,723557.0545,9299180.191
138,5198,724071.0896,9298517.507,723557.0545,9299180.191
139,5199,723633.8586,9298519.356,723557.0545,9299180.191
140,5200,723633.8586,9298519.356,723557.0545,9299180.191
141,5203,723962.1503,9298519.118,723557.0545,9299180.191
142,5204,723962.1503,9298519.118,723557.0545,9299180.191
143,5205,724061.5826,9298518.752,723557.0545,9299180.191
144,5206,724061.5826,9298518.752,723557.0545,9299180.191
145,5225,724052.487,9298519.875,723557.0545,9299180.191
146,5226,724052.487,9298519.875,723557.0545,9299180.191
147,5229,723952.7017,9298520.358,723557.0545,9299180.191
148,5230,723952.7017,9298520.358,723557.0545,9299180.191
149,5243,723609.353,9298522.47,723557.0545,9299180.191
150,5244,723609.353,9298522.47,723557.0545,9299180.191
151,5247,724043.6831,9298520.936,723557.0545,9299180.191
152,5248,724043.6831,9298520.936,723557.0545,9299180.191
153,5251,723943.3156,9298521.65,723557.0545,9299180.191
154,5252,723943.3156,9298521.65,723557.0545,9299180.191
155,5263,724034.5591,9298522.232,723557.0545,9299180.191
156,5264,724034.5591,9298522.232,723557.0545,9299180.191
157,5271,723933.8758,9298522.935,723557.0545,9299180.191
158,5272,723933.8758,9298522.935,723557.0545,9299180.191
159,5287,724025.6947,9298523.263,723557.0545,9299180.191
160,5288,724025.6947,9298523.263,723557.0545,9299180.191
161,5299,723923.5758,9298524.329,723557.0545,9299180.191
162,5300,723923.5758,9298524.329,723557.0545,9299180.191
163,5303,724017.4143,9298524.4,723557.0545,9299180.191
164,5304,724017.4143,9298524.4,723557.0545,9299180.191
165,5315,724008.7512,9298525.519,723557.0545,9299180.191
166,5316,724008.7512,9298525.519,723557.0545,9299180.191
167,5317,723911.9727,9298525.915,723557.0545,9299180.191
168,5318,723911.9727,9298525.915,723557.0545,9299180.191
169,5329,724000.9174,9298526.526,723557.0545,9299180.191
170,5330,724000.9174,9298526.526,723557.0545,9299180.191
171,5335,723707.1516,9298527.922,723557.0545,9299180.191
172,5336,723707.1516,9298527.922,723557.0545,9299180.191
173,5339,723651.0352,9298528.431,723557.0545,9299180.191
174,5340,723651.0352,9298528.431,723557.0545,9299180.191
175,5355,723903.6223,9298528.759,723557.0545,9299180.191
176,5356,723903.6223,9298528.759,723557.0545,9299180.191
177,5359,723989.076,9298528.557,723557.0545,9299180.191
178,5360,723989.076,9298528.557,723557.0545,9299180.191
179,5365,723667.1863,9298530.567,723557.0545,9299180.191
180,5366,723667.1863,9298530.567,723557.0545,9299180.191
181,5369,723981.3656,9298529.373,723557.0545,9299180.191
182,5370,723981.3656,9298529.373,723557.0545,9299180.191
183,5375,723645.0156,9298531.107,723557.0545,9299180.191
184,5376,723645.0156,9298531.107,723557.0545,9299180.191
185,5383,723972.9107,9298530.442,723557.0545,9299180.191
186,5384,723972.9107,9298530.442,723557.0545,9299180.191
187,5387,723614.201,9298532.169,723557.0545,9299180.191
188,5388,723614.201,9298532.169,723557.0545,9299180.191
189,5393,723963.2465,9298531.677,723557.0545,9299180.191
190,5394,723963.2465,9298531.677,723557.0545,9299180.191
191,5397,723570.8465,9298533.398,723557.0545,9299180.191
192,5398,723570.8465,9298533.398,723557.0545,9299180.191
193,5405,723953.8477,9298532.827,723557.0545,9299180.191
194,5406,723953.8477,9298532.827,723557.0545,9299180.191
195,5423,723944.6386,9298533.994,723557.0545,9299180.191
196,5424,723944.6386,9298533.994,723557.0545,9299180.191
197,5437,723689.2251,9298535.765,723557.0545,9299180.191
198,5438,723689.2251,9298535.765,723557.0545,9299180.191
199,5451,723935.3282,9298535.165,723557.0545,9299180.191
200,5452,723935.3282,9298535.165,723557.0545,9299180.191
201,5461,723925.212,9298536.432,723557.0545,9299180.191
202,5462,723925.212,9298536.432,723557.0545,9299180.191
203,5473,724068.0012,9298536.333,723557.0545,9299180.191
204,5474,724068.0012,9298536.333,723557.0545,9299180.191
205,5485,724061.8595,9298537.101,723557.0545,9299180.191
206,5486,724061.8595,9298537.101,723557.0545,9299180.191
207,5489,723913.8167,9298537.869,723557.0545,9299180.191
208,5490,723913.8167,9298537.869,723557.0545,9299180.191
209,5491,723617.322,9298539.734,723557.0545,9299180.191
210,5492,723617.322,9298539.734,723557.0545,9299180.191
211,5493,724055.5846,9298538.039,723557.0545,9299180.191
212,5494,724055.5846,9298538.039,723557.0545,9299180.191
213,5503,724049.6603,9298538.912,723557.0545,9299180.191
214,5504,724049.6603,9298538.912,723557.0545,9299180.191
215,5515,723902.5761,9298539.734,723557.0545,9299180.191
216,5516,723902.5761,9298539.734,723557.0545,9299180.191
217,5523,724043.2147,9298539.705,723557.0545,9299180.191
218,5524,724043.2147,9298539.705,723557.0545,9299180.191
219,5539,724036.2244,9298540.805,723557.0545,9299180.191
220,5540,724036.2244,9298540.805,723557.0545,9299180.191
221,5549,723625.7018,9298543.156,723557.0545,9299180.191
222,5550,723625.7018,9298543.156,723557.0545,9299180.191
223,5555,724029.4407,9298541.832,723557.0545,9299180.191
224,5556,724029.4407,9298541.832,723557.0545,9299180.191
225,5567,723660.2151,9298543.715,723557.0545,9299180.191
226,5568,723660.2151,9298543.715,723557.0545,9299180.191
227,5571,724023.4056,9298542.584,723557.0545,9299180.191
228,5572,724023.4056,9298542.584,723557.0545,9299180.191
229,5589,724017.6549,9298543.437,723557.0545,9299180.191
230,5590,724017.6549,9298543.437,723557.0545,9299180.191
231,5603,724011.1971,9298544.384,723557.0545,9299180.191
232,5604,724011.1971,9298544.384,723557.0545,9299180.191
233,5605,724004.8174,9298545.258,723557.0545,9299180.191
234,5606,724004.8174,9298545.258,723557.0545,9299180.191
235,5621,723998.6387,9298546.247,723557.0545,9299180.191
236,5622,723998.6387,9298546.247,723557.0545,9299180.191
237,5633,723991.863,9298547.026,723557.0545,9299180.191
238,5634,723991.863,9298547.026,723557.0545,9299180.191
239,5637,723690.9547,9298548.426,723557.0545,9299180.191
240,5638,723690.9547,9298548.426,723557.0545,9299180.191
241,5647,723984.9134,9298548.182,723557.0545,9299180.191
242,5648,723984.9134,9298548.182,723557.0545,9299180.191
243,5665,723978.4758,9298548.966,723557.0545,9299180.191
244,5666,723978.4758,9298548.966,723557.0545,9299180.191
245,5675,723972.2338,9298549.869,723557.0545,9299180.191
246,5676,723972.2338,9298549.869,723557.0545,9299180.191
247,5677,724068.5776,9298550.053,723557.0545,9299180.191
248,5678,724068.5776,9298550.053,723557.0545,9299180.191
249,5685,723966.1822,9298550.725,723557.0545,9299180.191
250,5686,723966.1822,9298550.725,723557.0545,9299180.191
251,5699,724062.4802,9298550.822,723557.0545,9299180.191
252,5700,724062.4802,9298550.822,723557.0545,9299180.191
253,5707,723959.9892,9298551.626,723557.0545,9299180.191
254,5708,723959.9892,9298551.626,723557.0545,9299180.191
255,5713,724056.4161,9298551.737,723557.0545,9299180.191
256,5714,724056.4161,9298551.737,723557.0545,9299180.191
257,5721,723953.7444,9298552.516,723557.0545,9299180.191
258,5722,723953.7444,9298552.516,723557.0545,9299180.191
259,5735,724050.5142,9298552.61,723557.0545,9299180.191
260,5736,724050.5142,9298552.61,723557.0545,9299180.191
261,5737,723630.2689,9298554.282,723557.0545,9299180.191
262,5738,723630.2689,9298554.282,723557.0545,9299180.191
263,5743,723947.4824,9298553.424,723557.0545,9299180.191
264,5744,723947.4824,9298553.424,723557.0545,9299180.191
265,5747,724044.3992,9298553.362,723557.0545,9299180.191
266,5748,724044.3992,9298553.362,723557.0545,9299180.191
267,5757,723941.2043,9298554.353,723557.0545,9299180.191
268,5758,723941.2043,9298554.353,723557.0545,9299180.191
269,5761,724037.766,9298554.42,723557.0545,9299180.191
270,5762,724037.766,9298554.42,723557.0545,9299180.191
271,5765,723934.3505,9298555.245,723557.0545,9299180.191
272,5766,723934.3505,9298555.245,723557.0545,9299180.191
273,5775,724030.7897,9298555.471,723557.0545,9299180.191
274,5776,724030.7897,9298555.471,723557.0545,9299180.191
275,5779,723927.2395,9298556.278,723557.0545,9299180.191
276,5780,723927.2395,9298556.278,723557.0545,9299180.191
277,5787,724024.638,9298556.257,723557.0545,9299180.191
278,5788,724024.638,9298556.257,723557.0545,9299180.191
279,5793,723920.8507,9298557.02,723557.0545,9299180.191
280,5794,723920.8507,9298557.02,723557.0545,9299180.191
281,5797,724018.9872,9298557.098,723557.0545,9299180.191
282,5798,724018.9872,9298557.098,723557.0545,9299180.191
283,5813,723914.7615,9298558.177,723557.0545,9299180.191
284,5814,723914.7615,9298558.177,723557.0545,9299180.191
285,5815,724012.4902,9298558.052,723557.0545,9299180.191
286,5816,724012.4902,9298558.052,723557.0545,9299180.191
287,5821,723909.2542,9298558.953,723557.0545,9299180.191
288,5822,723909.2542,9298558.953,723557.0545,9299180.191
289,5823,723693.433,9298559.88,723557.0545,9299180.191
290,5824,723693.433,9298559.88,723557.0545,9299180.191
291,5833,723905.0719,9298559.321,723557.0545,9299180.191
292,5834,723905.0719,9298559.321,723557.0545,9299180.191
293,5835,724006.0798,9298558.94,723557.0545,9299180.191
294,5836,724006.0798,9298558.94,723557.0545,9299180.191
295,5841,723900.4819,9298560.023,723557.0545,9299180.191
296,5842,723900.4819,9298560.023,723557.0545,9299180.191
297,5847,723999.6943,9298559.941,723557.0545,9299180.191
298,5848,723999.6943,9298559.941,723557.0545,9299180.191
299,5853,723895.3991,9298560.921,723557.0545,9299180.191
300,5854,723895.3991,9298560.921,723557.0545,9299180.191
301,5855,723992.9491,9298560.751,723557.0545,9299180.191
302,5856,723992.9491,9298560.751,723557.0545,9299180.191
303,5873,723986.0424,9298561.88,723557.0545,9299180.191
304,5874,723986.0424,9298561.88,723557.0545,9299180.191
305,5881,723642.4743,9298563.635,723557.0545,9299180.191
306,5882,723642.4743,9298563.635,723557.0545,9299180.191
307,5885,723979.5116,9298562.708,723557.0545,9299180.191
308,5886,723979.5116,9298562.708,723557.0545,9299180.191
309,5891,723664.055,9298564.191,723557.0545,9299180.191
310,5892,723664.055,9298564.191,723557.0545,9299180.191
311,5897,723973.4419,9298563.591,723557.0545,9299180.191
312,5898,723973.4419,9298563.591,723557.0545,9299180.191
313,5911,723967.5301,9298564.433,723557.0545,9299180.191
314,5912,723967.5301,9298564.433,723557.0545,9299180.191
315,5925,723961.4447,9298565.322,723557.0545,9299180.191
316,5926,723961.4447,9298565.322,723557.0545,9299180.191
317,5929,724067.9351,9298565.468,723557.0545,9299180.191
318,5930,724067.9351,9298565.468,723557.0545,9299180.191
319,5935,723955.257,9298566.209,723557.0545,9299180.191
320,5936,723955.257,9298566.209,723557.0545,9299180.191
321,5943,724059.901,9298566.677,723557.0545,9299180.191
322,5944,724059.901,9298566.677,723557.0545,9299180.191
323,5945,723949.0084,9298567.117,723557.0545,9299180.191
324,5946,723949.0084,9298567.117,723557.0545,9299180.191
325,5953,723680.3171,9298568.569,723557.0545,9299180.191
326,5954,723680.3171,9298568.569,723557.0545,9299180.191
327,5963,723942.6131,9298568.059,723557.0545,9299180.191
328,5964,723942.6131,9298568.059,723557.0545,9299180.191
329,5975,723935.773,9298568.974,723557.0545,9299180.191
330,5976,723935.773,9298568.974,723557.0545,9299180.191
331,5983,723928.833,9298569.986,723557.0545,9299180.191
332,5984,723928.833,9298569.986,723557.0545,9299180.191
333,5987,723922.8967,9298570.689,723557.0545,9299180.191
334,5988,723922.8967,9298570.689,723557.0545,9299180.191
335,6001,723916.9394,9298571.776,723557.0545,9299180.191
336,6002,723916.9394,9298571.776,723557.0545,9299180.191
337,6019,723911.0241,9298572.616,723557.0545,9299180.191
338,6020,723911.0241,9298572.616,723557.0545,9299180.191
339,6027,723906.8905,9298573.037,723557.0545,9299180.191
340,6028,723906.8905,9298573.037,723557.0545,9299180.191
341,6035,723902.6542,9298573.688,723557.0545,9299180.191
342,6036,723902.6542,9298573.688,723557.0545,9299180.191
343,6051,723897.5575,9298574.542,723557.0545,9299180.191
344,6052,723897.5575,9298574.542,723557.0545,9299180.191
345,6071,724005.4549,9298575.879,723557.0545,9299180.191
346,6072,724005.4549,9298575.879,723557.0545,9299180.191
347,6073,724035.825,9298575.837,723557.0545,9299180.191
348,6074,724035.825,9298575.837,723557.0545,9299180.191
349,6079,724000.3486,9298576.624,723557.0545,9299180.191
350,6080,724000.3486,9298576.624,723557.0545,9299180.191
351,6083,723618.0127,9298578.221,723557.0545,9299180.191
352,6084,723618.0127,9298578.221,723557.0545,9299180.191
353,6087,724069.5847,9298576.879,723557.0545,9299180.191
354,6088,724069.5847,9298576.879,723557.0545,9299180.191
355,6091,723994.9528,9298577.359,723557.0545,9299180.191
356,6092,723994.9528,9298577.359,723557.0545,9299180.191
357,6095,724017.7598,9298577.466,723557.0545,9299180.191
358,6096,724017.7598,9298577.466,723557.0545,9299180.191
359,6103,724062.0109,9298577.562,723557.0545,9299180.191
360,6104,724062.0109,9298577.562,723557.0545,9299180.191
361,6109,723988.9662,9298578.087,723557.0545,9299180.191
362,6110,723988.9662,9298578.087,723557.0545,9299180.191
363,6131,723982.9009,9298579.146,723557.0545,9299180.191
364,6132,723982.9009,9298579.146,723557.0545,9299180.191
365,6139,723976.9022,9298579.885,723557.0545,9299180.191
366,6140,723976.9022,9298579.885,723557.0545,9299180.191
367,6143,723971.6764,9298580.676,723557.0545,9299180.191
368,6144,723971.6764,9298580.676,723557.0545,9299180.191
369,6145,723552.6096,9298582.704,723557.0545,9299180.191
370,6146,723552.6096,9298582.704,723557.0545,9299180.191
371,6153,723966.4429,9298581.418,723557.0545,9299180.191
372,6154,723966.4429,9298581.418,723557.0545,9299180.191
373,6167,723960.6688,9298582.243,723557.0545,9299180.191
374,6168,723960.6688,9298582.243,723557.0545,9299180.191
375,6171,723955.4459,9298583.005,723557.0545,9299180.191
376,6172,723955.4459,9298583.005,723557.0545,9299180.191
377,6181,723949.2694,9298583.862,723557.0545,9299180.191
378,6182,723949.2694,9298583.862,723557.0545,9299180.191
379,6191,723942.7688,9298584.738,723557.0545,9299180.191
380,6192,723942.7688,9298584.738,723557.0545,9299180.191
381,6207,723937.2316,9298585.646,723557.0545,9299180.191
382,6208,723937.2316,9298585.646,723557.0545,9299180.191
383,6215,723931.2438,9298586.432,723557.0545,9299180.191
384,6216,723931.2438,9298586.432,723557.0545,9299180.191
385,6229,723925.4958,9298587.258,723557.0545,9299180.191
386,6230,723925.4958,9298587.258,723557.0545,9299180.191
387,6247,723919.4748,9298588.04,723557.0545,9299180.191
388,6248,723919.4748,9298588.04,723557.0545,9299180.191
389,6249,724006.8006,9298587.713,723557.0545,9299180.191
390,6250,724006.8006,9298587.713,723557.0545,9299180.191
391,6263,724001.6137,9298588.455,723557.0545,9299180.191
392,6264,724001.6137,9298588.455,723557.0545,9299180.191
393,6267,723913.3324,9298588.945,723557.0545,9299180.191
394,6268,723913.3324,9298588.945,723557.0545,9299180.191
395,6273,723996.1704,9298589.192,723557.0545,9299180.191
396,6274,723996.1704,9298589.192,723557.0545,9299180.191
397,6279,723906.8087,9298589.975,723557.0545,9299180.191
398,6280,723906.8087,9298589.975,723557.0545,9299180.191
399,6281,723990.5665,9298589.862,723557.0545,9299180.191
400,6282,723990.5665,9298589.862,723557.0545,9299180.191
401,6293,723984.6811,9298590.861,723557.0545,9299180.191
402,6294,723984.6811,9298590.861,723557.0545,9299180.191
403,6309,723978.623,9298591.618,723557.0545,9299180.191
404,6310,723978.623,9298591.618,723557.0545,9299180.191
405,6323,723973.5113,9298592.375,723557.0545,9299180.191
406,6324,723973.5113,9298592.375,723557.0545,9299180.191
407,6347,723968.2672,9298593.109,723557.0545,9299180.191
408,6348,723968.2672,9298593.109,723557.0545,9299180.191
409,6349,724071.2989,9298593.065,723557.0545,9299180.191
410,6350,724071.2989,9298593.065,723557.0545,9299180.191
411,6351,723962.4732,9298593.924,723557.0545,9299180.191
412,6352,723962.4732,9298593.924,723557.0545,9299180.191
413,6361,724065.1655,9298593.868,723557.0545,9299180.191
414,6362,724065.1655,9298593.868,723557.0545,9299180.191
415,6367,723957.1775,9298594.681,723557.0545,9299180.191
416,6368,723957.1775,9298594.681,723557.0545,9299180.191
417,6381,723950.9323,9298595.54,723557.0545,9299180.191
418,6382,723950.9323,9298595.54,723557.0545,9299180.191
419,6393,723667.9823,9298597.253,723557.0545,9299180.191
420,6394,723667.9823,9298597.253,723557.0545,9299180.191
421,6395,723944.5287,9298596.398,723557.0545,9299180.191
422,6396,723944.5287,9298596.398,723557.0545,9299180.191
423,6411,723938.9086,9298597.278,723557.0545,9299180.191
424,6412,723938.9086,9298597.278,723557.0545,9299180.191
425,6427,723932.6995,9298598.101,723557.0545,9299180.191
426,6428,723932.6995,9298598.101,723557.0545,9299180.191
427,6441,723655.3287,9298599.591,723557.0545,9299180.191
428,6442,723655.3287,9298599.591,723557.0545,9299180.191
429,6449,723926.8698,9298598.924,723557.0545,9299180.191
430,6450,723926.8698,9298598.924,723557.0545,9299180.191
431,6453,723683.1327,9298600.193,723557.0545,9299180.191
432,6454,723683.1327,9298600.193,723557.0545,9299180.191
433,6457,723920.9704,9298599.692,723557.0545,9299180.191
434,6458,723920.9704,9298599.692,723557.0545,9299180.191
435,6467,723915.0436,9298600.549,723557.0545,9299180.191
436,6468,723915.0436,9298600.549,723557.0545,9299180.191
437,6491,723908.289,9298601.57,723557.0545,9299180.191
438,6492,723908.289,9298601.57,723557.0545,9299180.191
439,6505,724006.8415,9298602.051,723557.0545,9299180.191
440,6506,724006.8415,9298602.051,723557.0545,9299180.191
441,6509,723617.4653,9298603.748,723557.0545,9299180.191
442,6510,723617.4653,9298603.748,723557.0545,9299180.191
443,6521,723998.5641,9298603.252,723557.0545,9299180.191
444,6522,723998.5641,9298603.252,723557.0545,9299180.191
445,6539,723992.5929,9298604.213,723557.0545,9299180.191
446,6540,723992.5929,9298604.213,723557.0545,9299180.191
447,6557,724066.3281,9298604.518,723557.0545,9299180.191
448,6558,724066.3281,9298604.518,723557.0545,9299180.191
449,6563,723986.6959,9298605.073,723557.0545,9299180.191
450,6564,723986.6959,9298605.073,723557.0545,9299180.191
451,6579,723981.2058,9298605.961,723557.0545,9299180.191
452,6580,723981.2058,9298605.961,723557.0545,9299180.191
453,6589,723974.9074,9298606.849,723557.0545,9299180.191
454,6590,723974.9074,9298606.849,723557.0545,9299180.191
455,6603,723558.6835,9298609.376,723557.0545,9299180.191
456,6604,723558.6835,9298609.376,723557.0545,9299180.191
457,6605,723968.6448,9298607.828,723557.0545,9299180.191
458,6606,723968.6448,9298607.828,723557.0545,9299180.191
459,6617,723963.0555,9298608.844,723557.0545,9299180.191
460,6618,723963.0555,9298608.844,723557.0545,9299180.191
461,6621,723957.5828,9298609.592,723557.0545,9299180.191
462,6622,723957.5828,9298609.592,723557.0545,9299180.191
463,6639,723951.8981,9298610.526,723557.0545,9299180.191
464,6640,723951.8981,9298610.526,723557.0545,9299180.191
465,6655,723945.3961,9298611.481,723557.0545,9299180.191
466,6656,723945.3961,9298611.481,723557.0545,9299180.191
467,6665,723939.0377,9298612.456,723557.0545,9299180.191
468,6666,723939.0377,9298612.456,723557.0545,9299180.191
469,6675,723933.3353,9298613.333,723557.0545,9299180.191
470,6676,723933.3353,9298613.333,723557.0545,9299180.191
471,6697,724008.4232,9298613.817,723557.0545,9299180.191
472,6698,724008.4232,9298613.817,723557.0545,9299180.191
473,6701,723926.8542,9298614.375,723557.0545,9299180.191
474,6702,723926.8542,9298614.375,723557.0545,9299180.191
475,6707,724000.4128,9298614.874,723557.0545,9299180.191
476,6708,724000.4128,9298614.874,723557.0545,9299180.191
477,6711,723920.8769,9298615.394,723557.0545,9299180.191
478,6712,723920.8769,9298615.394,723557.0545,9299180.191
479,6713,723575.7855,9298616.841,723557.0545,9299180.191
480,6714,723575.7855,9298616.841,723557.0545,9299180.191
481,6725,723915.7535,9298616.008,723557.0545,9299180.191
482,6726,723915.7535,9298616.008,723557.0545,9299180.191
